Season,Team,Games,Saves,Goals Conceded,Clean Sheets,Saves per game,Goals Conceded per game,Clean Sheets per game,Saves%,Save Rate
2004-2005,Aston Villa,38,184,52,11,4.842105263157895,1.368421052631579,0.2894736842105263,0.7796610169491526,0.7796610169491526
2004-2005,Birmingham City,38,166,46,9,4.368421052631579,1.2105263157894737,0.23684210526315788,0.7830188679245284,0.7830188679245284
2005-2006,Sunderland,38,208.0,69,4,5.473684210526316,1.8157894736842106,0.10526315789473684,0.7509025270758123,0.7509025270758123
2005-2006,Charlton Ath,38,176.0,55,13,4.631578947368421,1.4473684210526316,0.34210526315789475,0.7619047619047619,0.7719298245614035
2005-2006,Portsmouth,38,148.0,60,5,3.8947368421052633,1.5789473684210527,0.13157894736842105,0.7115384615384616,0.6948356807511737
2005-2006,West Ham,38,164.0,55,9,4.315789473684211,1.4473684210526316,0.23684210526315788,0.7488584474885844,0.7488584474885844
2005-2006,Chelsea,38,132.0,22,20,3.473684210526316,0.5789473684210527,0.5263157894736842,0.8571428571428571,0.8571428571428571
2005-2006,Fulham,38,168.0,58,10,4.421052631578948,1.5263157894736843,0.2631578947368421,0.7433628318584071,0.7433628318584071
2005-2006,Manchester Utd,38,153.0,34,18,4.026315789473684,0.8947368421052632,0.47368421052631576,0.8181818181818182,0.8181818181818182
2005-2006,Liverpool,38,138.0,25,22,3.6315789473684212,0.6578947368421053,0.5789473684210527,0.8466257668711656,0.8466257668711656
2005-2006,Wigan Athletic,38,149.0,52,10,3.9210526315789473,1.368421052631579,0.2631578947368421,0.7412935323383084,0.7412935323383084
2005-2006,Blackburn,38,143.0,42,16,3.763157894736842,1.105263157894737,0.42105263157894735,0.772972972972973,0.772972972972973
2005-2006,Newcastle Utd,38,133.0,42,13,3.5,1.105263157894737,0.34210526315789475,0.76,0.76
