Team,Season,Rating
Liverpool,2019-2020,63.41
Manchester City,2019-2020,63.62
Manchester Utd,2019-2020,62.14
Newcastle Utd,2019-2020,60.46
Norwich City,2019-2020,51.0
Sheffield Utd,2019-2020,51.0
Southampton,2019-2020,61.36
Tottenham,2019-2020,62.54
Watford,2019-2020,61.37
West Ham,2019-2020,61.51
Wolves,2019-2020,56.98
Arsenal,2020-2021,61.82
Aston Villa,2020-2021,56.76
Brighton,2020-2021,61.39
Burnley,2020-2021,61.84
Chelsea,2020-2021,61.94
Crystal Palace,2020-2021,61.62
Everton,2020-2021,61.65
Fulham,2020-2021,54.31
Leeds United,2020-2021,51.0
Leicester City,2020-2021,61.97
Liverpool,2020-2021,63.09
Manchester City,2020-2021,63.41
Manchester Utd,2020-2021,62.21
Newcastle Utd,2020-2021,61.62
Sheffield Utd,2020-2021,57.15
Southampton,2020-2021,61.44
Tottenham,2020-2021,61.98
West Brom,2020-2021,52.15
West Ham,2020-2021,61.4
Wolves,2020-2021,60.74
Arsenal,2021-2022,61.96
Aston Villa,2021-2022,60.7
Brentford,2021-2022,51.0
Brighton,2021-2022,61.59
Burnley,2021-2022,61.71
Chelsea,2021-2022,62.2
Crystal Palace,2021-2022,61.43
Everton,2021-2022,61.75
Leeds United,2021-2022,57.19
Leicester City,2021-2022,61.93
Liverpool,2021-2022,62.47
Manchester City,2021-2022,63.18
Manchester Utd,2021-2022,62.2
Newcastle Utd,2021-2022,61.44
Norwich City,2021-2022,54.44
Southampton,2021-2022,61.46
Tottenham,2021-2022,62.03
Watford,2021-2022,55.56
West Ham,2021-2022,61.68
Wolves,2021-2022,61.7
Arsenal,2022-2023,62.01
Aston Villa,2022-2023,61.79
Bournemouth,2022-2023,52.11
Brentford,2022-2023,56.91
Brighton,2022-2023,61.7
Chelsea,2022-2023,62.43
Crystal Palace,2022-2023,61.7
Everton,2022-2023,61.51
Fulham,2022-2023,54.42
Leeds United,2022-2023,60.24
Leicester City,2022-2023,61.68
Liverpool,2022-2023,63.15
Manchester City,2022-2023,63.49
Manchester Utd,2022-2023,61.85
Newcastle Utd,2022-2023,61.36
Nott'ham Forest,2022-2023,51.0
Southampton,2022-2023,61.39
Tottenham,2022-2023,62.29
West Ham,2022-2023,61.66
Wolves,2022-2023,61.68
Arsenal,2023-2024,62.27
Aston Villa,2023-2024,61.88
Bournemouth,2023-2024,56.79
Brentford,2023-2024,60.67
Brighton,2023-2024,61.87
Burnley,2023-2024,55.59
Chelsea,2023-2024,61.99
Crystal Palace,2023-2024,61.64
Everton,2023-2024,61.44
Fulham,2023-2024,58.14
Liverpool,2023-2024,62.7
Luton Town,2023-2024,51.0
Manchester City,2023-2024,63.1
Manchester Utd,2023-2024,62.16
Newcastle Utd,2023-2024,62.05
Nott'ham Forest,2023-2024,56.78
Sheffield Utd,2023-2024,52.1
Tottenham,2023-2024,61.97
West Ham,2023-2024,61.57
Wolves,2023-2024,61.58
