Home Team,Away Team,Home Team ELO,Away Team ELO,Home Team Win Percentage,Home Team Draw Percentage,Away Team Win Percentage,Away Team Draw Percentage,Winner
Leeds United,Southampton,1473,1452,27.27,31.82,22.73,40.91,1
Ipswich Town,Oldham Athletic,1548,1473,36.36,54.55,25.0,30.0,-1
Middlesbrough,QPR,1467,1521,27.27,40.91,42.86,23.81,-1
Blackburn,Wimbledon,1529,1450,45.45,31.82,18.18,36.36,0
Liverpool,Aston Villa,1494,1581,38.1,23.81,45.45,36.36,-1
Sheffield Weds,Norwich City,1517,1540,27.27,40.91,54.55,22.73,1
Nott'ham Forest,Chelsea,1447,1512,18.18,27.27,39.13,34.78,1
Sheffield Utd,Ipswich Town,1463,1527,22.73,31.82,34.78,52.17,1
Oldham Athletic,Blackburn,1460,1542,28.57,28.57,43.48,34.78,-1
Norwich City,Coventry City,1538,1497,52.17,21.74,34.78,34.78,0
Wimbledon,Liverpool,1468,1476,17.39,39.13,36.36,22.73,1
Tottenham,Sheffield Weds,1492,1533,30.43,34.78,30.43,39.13,-1
Southampton,Crystal Palace,1470,1473,21.74,39.13,26.09,39.13,1
Everton,Leeds United,1476,1456,30.43,21.74,30.43,30.43,1
Manchester City,Arsenal,1501,1504,39.13,26.09,39.13,21.74,-1
Aston Villa,Middlesbrough,1592,1456,47.83,34.78,26.09,39.13,1
QPR,Manchester Utd,1508,1609,45.45,22.73,47.83,34.78,-1
Coventry City,Oldham Athletic,1511,1446,33.33,37.5,27.27,27.27,1
Blackburn,Coventry City,1525,1528,45.83,33.33,36.0,36.0,-1
Oldham Athletic,Manchester City,1433,1514,26.09,26.09,37.5,25.0,-1
Wimbledon,Everton,1452,1492,20.83,37.5,33.33,20.83,-1
Middlesbrough,Southampton,1473,1453,25.0,37.5,25.0,37.5,1
Norwich City,Crystal Palace,1551,1460,50.0,25.0,25.0,37.5,1
Tottenham,Ipswich Town,1478,1541,29.17,33.33,33.33,50.0,-1
Manchester Utd,Nott'ham Forest,1618,1438,50.0,33.33,21.74,26.09,1
Aston Villa,Sheffield Utd,1602,1453,50.0,33.33,26.09,30.43,1
QPR,Chelsea,1508,1512,43.48,21.74,37.5,33.33,0
Manchester City,Blackburn,1531,1508,40.0,24.0,44.0,32.0,1
Coventry City,Wimbledon,1509,1471,38.46,34.62,20.0,36.0,-1
Nott'ham Forest,Oldham Athletic,1454,1417,20.83,25.0,25.0,25.0,1
