Season,Home Team,Away Team,Home Goals,Away Goals,Home Team ELO,Away Team ELO,Home XG,Away XG,Home XGA,Away XGA,Home Win Percentage,Home Draw Percentage,Away Win Percentage,Away Draw Percentage,Head2Head Win,Head2Head Draw,Winner
2014-2015,QPR,Crystal Palace,0,0,913,963,46,45,65,46,30.12,23.94,24.42,28.57,0,100,0
2014-2015,Manchester City,Burnley,2,2,1322,796,78,39,40,58,40.47,24.96,19.3,22.81,0,100,0
2014-2015,Stoke City,West Brom,2,0,1070,950,46,40,47,53,30.77,29.15,23.84,26.93,100,0,1
2014-2015,West Ham,Arsenal,1,2,1070,1217,47,71,57,36,32.91,25.18,54.09,26.18,0,0,-1
2014-2015,Aston Villa,Sunderland,0,0,980,1020,33,37,50,51,35.52,30.57,26.12,26.32,0,100,0
2014-2015,Hull City,Leicester City,0,1,912,789,33,48,47,55,20.3,27.82,26.61,28.75,0,0,-1
2014-2015,Newcastle Utd,Everton,3,2,1041,1080,40,44,51,47,39.39,25.79,36.22,28.6,100,0,1
2014-2015,Liverpool,Swansea City,4,1,1183,1045,53,41,38,55,49.6,25.03,31.58,27.82,100,0,1
2014-2015,Stoke City,Manchester Utd,1,1,1076,1208,46,55,47,33,30.65,29.44,64.17,20.97,0,50,0
2014-2015,Manchester City,Sunderland,3,2,1327,1015,78,37,40,51,40.56,24.93,26.07,26.26,100,0,1
2014-2015,Southampton,Arsenal,2,0,1140,1197,59,71,36,36,30.73,27.41,54.03,26.15,50,0,1
2014-2015,Newcastle Utd,Burnley,3,3,1031,806,40,39,51,58,39.34,25.89,18.97,24.14,0,100,0
2014-2015,Aston Villa,Crystal Palace,0,0,979,964,33,45,50,46,35.48,30.65,24.31,28.9,50,50,0
2014-2015,West Ham,West Brom,1,1,1065,955,47,40,57,53,32.87,25.28,23.77,27.16,50,50,0
2014-2015,QPR,Swansea City,1,1,919,1039,46,41,65,55,30.0,24.23,31.34,28.36,0,50,0
2014-2015,Hull City,Everton,2,0,935,1057,33,44,47,47,20.9,27.61,36.18,28.57,50,50,1
2014-2015,Liverpool,Leicester City,2,2,1170,802,53,48,38,55,49.54,25.12,26.52,28.96,50,50,0
2014-2015,Tottenham,Chelsea,5,3,1185,1290,54,70,55,31,39.86,25.69,53.23,25.23,50,0,1
2014-2015,Sunderland,Liverpool,0,1,1006,1179,37,53,51,38,26.02,26.21,49.6,25.09,0,50,-1
2014-2015,Swansea City,West Ham,1,1,1040,1064,41,47,55,57,31.11,28.89,32.82,25.39,0,50,0
2014-2015,West Brom,Hull City,1,0,970,920,40,33,53,47,24.0,27.08,20.74,27.41,50,50,1
2014-2015,Leicester City,Aston Villa,1,0,826,955,48,33,55,50,26.75,28.88,35.44,30.61,50,0,1
2014-2015,Everton,Manchester City,1,1,1067,1317,44,78,47,40,36.13,28.65,40.5,25.04,0,50,0
2014-2015,Chelsea,Newcastle Utd,2,0,1296,1025,70,40,31,51,53.28,25.2,39.29,25.86,50,0,1
2014-2015,Burnley,QPR,2,1,827,898,39,46,58,65,20.34,23.73,29.89,24.14,50,0,1
2014-2015,Crystal Palace,Tottenham,2,1,989,1160,45,54,46,55,24.66,28.77,39.82,25.66,50,50,1
2014-2015,Arsenal,Stoke City,3,0,1208,1065,71,46,36,47,54.09,26.12,30.52,29.32,50,0,1
2014-2015,Manchester Utd,Southampton,0,1,1189,1159,55,59,33,36,64.1,20.94,30.85,27.36,50,0,-1
2014-2015,Tottenham,Sunderland,2,1,1169,997,54,37,55,51,39.89,25.63,25.97,26.16,50,50,1
2014-2015,Aston Villa,Liverpool,0,2,948,1186,33,53,50,38,35.4,30.57,49.66,25.06,50,0,-1
2014-2015,Leicester City,Stoke City,0,1,820,1071,48,46,55,47,26.67,28.79,30.8,29.2,50,0,-1
2014-2015,QPR,Manchester Utd,0,2,893,1194,46,55,65,33,29.77,24.05,64.14,20.92,0,0,-1
2014-2015,Burnley,Crystal Palace,2,3,818,998,39,45,58,46,20.0,23.33,25.0,28.64,0,50,-1
2014-2015,Swansea City,Chelsea,0,5,1034,1302,41,71,55,30,30.88,28.68,53.33,25.17,0,0,-1
2014-2015,Newcastle Utd,Southampton,1,2,1015,1169,40,59,51,36,39.24,25.82,30.96,27.32,0,0,-1
2014-2015,West Ham,Hull City,3,0,1074,910,47,33,56,47,32.91,25.35,20.59,27.21,50,50,1
2014-2015,Manchester City,Arsenal,0,2,1296,1229,78,71,40,36,40.44,25.0,54.14,26.09,0,50,-1
2014-2015,Everton,West Brom,0,0,1063,974,44,40,47,53,36.09,28.74,23.93,27.3,50,50,0
2014-2015,Hull City,Newcastle Utd,0,3,899,1026,33,40,47,50,20.44,27.01,39.32,25.79,0,50,-1
2014-2015,Manchester Utd,Leicester City,3,1,1197,817,55,48,33,55,64.18,20.9,26.59,28.7,50,0,1
2014-2015,Crystal Palace,Everton,0,1,985,1076,45,44,46,47,24.89,28.51,36.17,28.7,50,0,-1
2014-2015,Liverpool,West Ham,2,0,1197,1063,53,47,38,56,49.71,25.03,32.87,25.31,50,0,1
2014-2015,Sunderland,Burnley,2,0,1005,810,37,39,51,58,26.11,26.11,19.67,22.95,50,50,1
2014-2015,West Brom,Tottenham,0,3,966,1177,40,54,53,55,23.85,27.22,39.95,25.6,50,0,-1
2014-2015,Stoke City,QPR,3,1,1079,885,46,46,47,65,31.08,29.08,29.66,23.95,50,50,1
2014-2015,Chelsea,Manchester City,1,1,1302,1296,71,78,30,40,53.27,25.26,40.38,25.11,0,100,0
2014-2015,Arsenal,Aston Villa,5,0,1234,943,72,33,35,50,54.19,26.06,35.36,30.54,100,0,1
2014-2015,Southampton,Swansea City,0,1,1147,1056,59,41,36,55,30.91,27.27,31.39,28.47,50,0,-1
2014-2015,Tottenham,Arsenal,2,1,1196,1215,54,72,55,35,40.02,25.57,54.13,26.03,50,50,1
2014-2015,Aston Villa,Chelsea,1,2,939,1306,33,71,50,30,35.32,30.5,53.33,25.23,0,0,-1
2014-2015,Swansea City,Sunderland,1,1,1054,1007,41,37,55,51,31.16,28.99,26.06,26.25,0,100,0
2014-2015,QPR,Southampton,0,1,879,1153,46,59,65,36,29.55,23.86,31.02,27.23,0,0,-1
